sales_rep_id,sales_rep_name,doctor_id,doctor_name,specialty,region,medicine_name,units_sold,revenue,visit_date,target,achieved_pct,marketing_spend,prescriptions,roi
1001,Jessica Vaughn,2010,Allison Jones,Neurology,South,NeuroPlus,62,78616,2025-08-03,183348,42.88,11972,47,6.57
1003,Joseph Schroeder,2009,Valerie White,Cardiology,South,HeartSafe,48,31152,2026-02-28,93509,33.31,5160,9,6.04
1011,Krystal Reese,2056,Michael Smith,Dermatology,South,SkinGlow,306,80478,2025-12-03,193999,41.48,32192,17,2.5
1015,Justin Hays,2016,Isaac Mann,Cardiology,South,HeartSafe,242,70664,2025-09-03,55555,127.2,27263,44,2.59
1004,Jordan Adams,2053,Jason Meyers,Neurology,South,NeuroPlus,161,186277,2025-06-24,181653,102.55,37583,100,4.96
1009,Daniel Thompson,2038,Becky Garza,Cardiology,West,HeartSafe,371,96089,2026-04-18,55416,173.4,15113,8,6.36
1006,William Levy,2004,Tina Lara,Neurology,West,NeuroPlus,351,303966,2025-10-03,167107,181.9,31764,24,9.57
1015,Allison Wood,2039,Angela Thomas,Neurology,North,NeuroPlus,114,91314,2026-03-08,79294,115.16,13456,77,6.79
1010,Jordan Adams,2032,Samantha Garcia,Cardiology,West,HeartSafe,193,222143,2026-01-22,142562,155.82,15108,76,14.7
1009,Krystal Reese,2030,Kathleen Harris,Neurology,South,NeuroPlus,476,270844,2025-08-22,79250,341.76,37020,21,7.32
1005,Jessica Vaughn,2052,Tiffany Black,Cardiology,East,HeartSafe,355,495935,2025-10-30,157806,314.27,11488,89,43.17
1013,Robert Pace,2032,Samantha Garcia,Cardiology,South,HeartSafe,169,106977,2026-02-17,82899,129.04,8563,10,12.49
1007,Jessica Vaughn,2024,Tracy Williams,Dermatology,West,SkinGlow,100,105900,2026-05-13,126664,83.61,5838,14,18.14
1003,Allison Wood,2016,Isaac Mann,Cardiology,South,HeartSafe,144,164016,2025-07-09,185924,88.22,29542,82,5.55
1002,Michael Williams,2005,Paul Barrett,Orthopedics,East,PainOff,240,206160,2025-10-04,104228,197.8,22165,59,9.3
1013,Joanna Smith,2005,Paul Barrett,Orthopedics,North,PainOff,194,189732,2025-11-12,189999,99.86,18072,8,10.5
1012,Michelle Francis,2035,Eric Perez,Cardiology,West,HeartSafe,299,438334,2025-09-05,186858,234.58,31321,48,13.99
1011,Joanna Smith,2007,Craig Rodriguez,Neurology,South,NeuroPlus,129,116616,2025-12-20,152199,76.62,34929,59,3.34
1003,William Levy,2041,Margaret Johnson,Dermatology,South,SkinGlow,273,390117,2025-09-30,162074,240.7,34458,9,11.32
1003,Justin Hays,2042,Veronica Ward,Cardiology,West,HeartSafe,451,492943,2025-06-12,55142,893.95,34619,34,14.24
1000,Joseph Schroeder,2002,Allison Quinn,Dermatology,East,SkinGlow,211,267970,2025-07-24,133971,200.02,33188,38,8.07
1008,Krystal Reese,2021,Bryce Lee,Cardiology,South,HeartSafe,496,491536,2025-09-26,167523,293.41,39340,25,12.49
1015,William Levy,2056,Michael Smith,Dermatology,East,SkinGlow,451,235422,2025-08-15,67496,348.79,32109,15,7.33
1008,Megan Terry,2027,Andrew Huffman,Orthopedics,West,PainOff,304,127376,2025-07-08,100019,127.35,29753,28,4.28
1013,Jordan Adams,2047,Roy Newman,Orthopedics,East,PainOff,93,124713,2025-07-29,192276,64.86,16776,74,7.43
1005,Michelle Francis,2054,Valerie Gaines,Orthopedics,East,PainOff,188,94000,2026-02-10,71776,130.96,18385,13,5.11
1006,Ruth Holmes,2035,Eric Perez,Cardiology,South,HeartSafe,28,40460,2025-06-06,185124,21.86,33864,86,1.19
1014,William Levy,2052,Tiffany Black,Cardiology,North,HeartSafe,238,300832,2026-03-11,58094,517.84,37809,69,7.96
1004,Ruth Holmes,2015,Rachel Gibbs,Dermatology,West,SkinGlow,298,438358,2025-10-18,167128,262.29,24427,15,17.95
1002,William Levy,2018,Elijah Thompson II,Orthopedics,North,PainOff,197,285650,2026-01-15,106724,267.65,6905,92,41.37
1009,Joanna Smith,2017,Justin Hill,Cardiology,East,HeartSafe,471,219486,2025-08-08,194668,112.75,29693,9,7.39
1014,Michael Williams,2029,Jacob Wright,Neurology,North,NeuroPlus,104,135304,2025-09-22,65286,207.25,28002,65,4.83
1006,Megan Terry,2049,Seth Evans,Dermatology,West,SkinGlow,97,82644,2025-08-17,187475,44.08,10866,56,7.61
1012,Joanna Smith,2005,Paul Barrett,Orthopedics,East,PainOff,307,240381,2025-11-30,127180,189.01,28075,40,8.56
1001,William Levy,2018,Elijah Thompson II,Orthopedics,East,PainOff,130,41340,2025-06-27,185887,22.24,26989,44,1.53
1006,Jordan Adams,2002,Allison Quinn,Dermatology,South,SkinGlow,98,70266,2026-02-12,176992,39.7,35031,95,2.01
1006,Daniel Thompson,2003,Christopher Davis,Cardiology,South,HeartSafe,360,366120,2025-08-19,86796,421.82,19999,27,18.31
1011,Jordan Adams,2050,Michael Daniels,Dermatology,East,SkinGlow,21,15687,2026-03-11,111118,14.12,39330,72,0.4
1001,Michelle Francis,2040,Nicole Hernandez,Cardiology,South,HeartSafe,110,87120,2025-12-03,87174,99.94,19303,95,4.51
1013,Ruth Holmes,2038,Becky Garza,Cardiology,West,HeartSafe,74,25382,2025-06-07,184029,13.79,12159,74,2.09
1009,William Levy,2032,Samantha Garcia,Cardiology,South,HeartSafe,143,108108,2025-06-03,129211,83.67,29983,98,3.61
1004,William Levy,2022,Adam Bonilla,Neurology,North,NeuroPlus,424,474456,2026-01-03,105488,449.77,24259,37,19.56
1015,Daniel Thompson,2031,Andrew Moore,Neurology,North,NeuroPlus,27,34722,2025-06-07,171791,20.21,22027,90,1.58
1014,Michael Williams,2007,Craig Rodriguez,Neurology,West,NeuroPlus,348,141288,2026-04-18,166752,84.73,38806,10,3.64
1009,William Levy,2006,Elizabeth Smith,Cardiology,North,HeartSafe,142,205190,2026-01-13,95046,215.88,13300,26,15.43
1011,Ruth Holmes,2051,Katherine Gregory,Dermatology,West,SkinGlow,183,51972,2026-04-30,194375,26.74,23521,33,2.21
1005,Michael Williams,2017,Justin Hill,Cardiology,East,HeartSafe,327,220725,2026-05-13,55615,396.88,8954,30,24.65
1015,Robert Pace,2007,Craig Rodriguez,Neurology,West,NeuroPlus,424,179776,2025-10-09,117436,153.08,20144,60,8.92
1008,Megan Terry,2009,Valerie White,Cardiology,North,HeartSafe,326,97148,2026-05-03,124943,77.75,17323,47,5.61
1013,Robert Pace,2018,Elijah Thompson II,Orthopedics,East,PainOff,462,669438,2026-05-04,89387,748.92,19528,56,34.28
1013,Megan Terry,2040,Nicole Hernandez,Cardiology,North,HeartSafe,289,218773,2025-10-26,88478,247.26,36010,25,6.08
1000,Justin Hays,2049,Seth Evans,Dermatology,West,SkinGlow,257,54741,2025-12-10,195241,28.04,35915,87,1.52
1009,Jessica Vaughn,2023,Sara Salazar,Cardiology,North,HeartSafe,97,114266,2025-06-16,170408,67.05,29449,43,3.88
